age,bio,job,school,anthem_title,anthem_artist,gender,descriptor_text,interest_text,total_photos,desition,longitud,latitud,hash_key,descriptor,interest,city_hashed
19.0,:Libra: :woman_fairy_light_skin_tone::performing_arts::dizzy::crystal_ball::clapper_board::butterfly::camera::rainbow::hot_beverage::Peru::nazar_amulet::yin_yang:|artes escénicas y comunicación audiovisual,['NotSpecified'],,jawbreaker,Machine Gun Kelly,Woman,|Libra|Better in person,|Museum|Photography|Language Exchange|Coffee|Spirituality,13,2,-3.684574,40.415211,-5.379741071921033e+18,"['Libra', 'Better in person']","['Museum', 'Photography', 'Language Exchange', 'Coffee', 'Spirituality']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0,𝚏𝚘𝚕𝚕𝚘𝚠 𝚝𝚑𝚎 𝚠𝚑𝚒𝚝𝚎 𝚛𝚊𝚋𝚋𝚒𝚝..||busco intelencia; extravagancia y arte.||techno; rock; metal; darkwave; trip-hop; experimental..:black_heart:||  :rabbit:,['NotSpecified'],,A History of Bad Men,Melvins,NotSpecified,,|Fashion|Art|Music|Writer|Reading,12,2,-3.684574,40.415211,-7.063962946521381e+18,[],"['Fashion', 'Art', 'Music', 'Writer', 'Reading']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,just meet; I have no romantic interest :flying_saucer: ;:face_with_tongue:,['NotSpecified'],,Miss me,RealestK,NotSpecified,|Aquarius|Bad texter|Omnivore|Occasionally|Non-smoker|Cocktails|Dog,|Tea|Travel|Outdoors|Shopping|Fashion,11,2,-3.684574,40.415211,5.751122671739137e+18,"['Aquarius', 'Bad texter', 'Omnivore', 'Occasionally', 'Non-smoker', 'Cocktails', 'Dog']","['Tea', 'Travel', 'Outdoors', 'Shopping', 'Fashion']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
,:hot_beverage: tired of kissing frogs.coldplay .keane.red hot chilli peppers .artic monkeys .black keys.phoenix.arcade fire .obsessed with the medieval : mayra.henriquez,['NotSpecified'],,X&Y,Coldplay,NotSpecified,,|Language Exchange|Working out|Reading|Writer|Spirituality,15,2,-3.684574,40.415211,-4.4265904492480486e+18,[],"['Language Exchange', 'Working out', 'Reading', 'Writer', 'Spirituality']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
18.0,that cuts,['NotSpecified'],,,,NotSpecified,|Sagittarius|Smoker,,8,2,-3.684574,40.415211,-7.296945046448453e+18,"['Sagittarius', 'Smoker']",[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,Music is my passion and finding cool people is what I'm looking for. |I love talking about anything,['NotSpecified'],Universidad Autónoma de Madrid,,,NotSpecified,|Cancer|Better in person|Non-smoker|Sober|Dog|In College,|Movies|Musician|Picnicking|Music|Netflix,14,2,-3.684574,40.415211,1.8738788101521677e+18,"['Cancer', 'Better in person', 'Non-smoker', 'Sober', 'Dog', 'In College']","['Movies', 'Musician', 'Picnicking', 'Music', 'Netflix']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,from the united states|i like rock music and i like rock climbing :rock::rock:,['Barista'],Concordia College at Moorhead,Anytime,Journey,NotSpecified,,|Climbing|Grab a drink|Art|Environmentalism|Coffee,13,2,-3.684574,40.415211,-8.993304957519526e+18,[],"['Climbing', 'Grab a drink', 'Art', 'Environmentalism', 'Coffee']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,|croquettes |mom; I want to be an artist :performing_arts::woman_dancing_light_skin_tone::microphone:|I'm only serious in photos|spoiler: I'm going to steal your sweatshirts,['NotSpecified'],Universidad Rey Juan Carlos,THE SCOTTS,THE SCOTTS; Travis Scott; Kid Cudi,NotSpecified,|Pisces|B time texter|Cat|Wine,|Travel|Art|Tattoos|Grab a drink|Dancing,11,2,-3.684574,40.415211,-4.575287664993166e+18,"['Pisces', 'B time texter', 'Cat', 'Wine']","['Travel', 'Art', 'Tattoos', 'Grab a drink', 'Dancing']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
23.0,Hi :rolling_on_the_floor_laughing:|I'm looking to meet cool people who like going out or having a drink,['NotSpecified'],master D,,,NotSpecified,|Sagittarius|Pet-free|Smoker,|Grab a drink|Movies|Netflix|Party Animal|Dancing,1,2,-3.684574,40.415211,-2.2567048781513848e+18,"['Sagittarius', 'Pet-free', 'Smoker']","['Grab a drink', 'Movies', 'Netflix', 'Party Animal', 'Dancing']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
20.0,"If you are the one in the last photo, go ahead, talk to me, don't be shy :relieved_face:",['NotSpecified'],,Kiss Me More (feat. SZA),Doja Cat; SZA,Woman,|Cat|Virgo,|Coffee|Gamer|Cat lover,12,2,-3.684574,40.415211,4.418116616257535e+18,"['Cat', 'Virgo']","['Coffee', 'Gamer', 'Cat lover']",8206299e7d15db1d75e8c44c5f48523d4f88f0513b6adcc1e959022ba3525271
22.0,"I am Italian and I study in Spain.||What interests me the most is having a good time and always enjoying the moment. ||My masters currently define me as a 'hippy': I always let things flow and negativity is out!!||Do you want to put on a Spanish song when you're feeling down? Well, it starts with Morat.||Question:|What is your favorite beer?",['Estudiante'],University of Castilla-La Mancha Universidad de Castilla-La Mancha,Besos En Guerra,Morat; Juanes,NotSpecified,|Leo|Better in person|Socially active|Occasionally|Beer|Dog|In College|Smoker,|Travel|Movies|Coffee|Karaoke|Dancing,13,2,-3.684574,40.415211,1.428951688176591e+18,"['Leo', 'Better in person', 'Socially active', 'Occasionally', 'Beer', 'Dog', 'In College', 'Smoker']","['Travel', 'Movies', 'Coffee', 'Karaoke', 'Dancing']",787d26094442e02200055dc8f0aec927c839d3b9817a204ee07003ebbc8ba014
24.0,discovering new places; chill out plans and the occasional beer.,['NotSpecified'],Universidad Autónoma de Madrid,MAFIOSA,Nathy Peluso,Woman,|Non-smoker,|Comedy|Brunch|Musician|Baking|Working out,14,2,-3.684574,40.415211,-7.203981643610752e+18,['Non-smoker'],"['Comedy', 'Brunch', 'Musician', 'Baking', 'Working out']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
22.0,Chilean living in Madrid :victory_hand_medium_skin_tone::victory_hand_medium_skin_tone: yes; I'm short haha|I like it very much:Italy:|,['NotSpecified'],,Lloras - Remix,Cauty; Lenny Tavárez; Jay Wheeler; Noriel; Alex Rose,NotSpecified,|Libra|B time texter|Socially active|Non-smoker|All the drinks|Never,|Walking|Travel|Photography|Grab a drink|Netflix,8,2,-3.684574,40.415211,6.289021643841099e+18,"['Libra', 'B time texter', 'Socially active', 'Non-smoker', 'All the drinks', 'Never']","['Walking', 'Travel', 'Photography', 'Grab a drink', 'Netflix']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
23.0,:ice:,['NotSpecified'],,,,Woman,,|Foodie|Grab a drink|Parties|Working out|Movies,6,2,-3.684574,40.415211,3.425557875676373e+18,[],"['Foodie', 'Grab a drink', 'Parties', 'Working out', 'Movies']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
19.0,:victory_hand_medium-light_skin_tone:,['NotSpecified'],,,,NotSpecified,,,5,2,-3.684574,40.415211,-7.333025974095203e+18,[],[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
30.0,Mexican traveler :cactus::globe_showing_Americas:,['NotSpecified'],,,,NotSpecified,|Non-smoker|Capricorn|Dog,|Travel|Walking|Movies|Instagram|Shopping,10,2,-3.684574,40.415211,9.066314165711505e+18,"['Non-smoker', 'Capricorn', 'Dog']","['Travel', 'Walking', 'Movies', 'Instagram', 'Shopping']",b745d338f07abe08916b8e6f2c37906fe811ad5852fc3d484c255d74e0ae3202
21.0,best insta,['NotSpecified'],,,,Woman,,|Netflix|Music|Fashion|Grab a drink,7,2,-3.684574,40.415211,5.066869748382589e+18,[],"['Netflix', 'Music', 'Fashion', 'Grab a drink']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
,:round_pushpin: madrid ||you don't know how to read ok read a profile that's what they're there for ||instagram johannabedoya ||scorpion :scorpion:||. cm| trans :transgender_flag: ||only interesting people please|I don't like people who talk a lot and do nothing I hate wasting time and wasting it so be clear and direct,['NotSpecified'],Corporación Universitaria de Sabaneta J. Emilio Valderrama,,,NotSpecified,|Non-smoker|Scorpio|Dog,|Dancing|Shopping|Netflix|Working out|Travel,11,2,-3.684574,40.415211,1.9726075716553472e+18,"['Non-smoker', 'Scorpio', 'Dog']","['Dancing', 'Shopping', 'Netflix', 'Working out', 'Travel']",2d47873c27af3ffc61c5642fbe8a03f67e3fe39466bed28c71f9377fef12918a
26.0,venezuela :Venezuela::red_heart:|:round_pushpin::Ceuta_&_Melilla:,['NotSpecified'],,,,Woman,|Non-smoker|Scorpio,|Dancing|Craft Beer|Netflix|Travel|Music,7,2,-3.684574,40.415211,-5.894135762683515e+18,"['Non-smoker', 'Scorpio']","['Dancing', 'Craft Beer', 'Netflix', 'Travel', 'Music']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
26.0,hey!!,['NotSpecified'],,,,NotSpecified,,|Dog lover|Movies|Netflix|Walking|Travel,5,2,-3.684574,40.415211,3.989585842265104e+18,[],"['Dog lover', 'Movies', 'Netflix', 'Walking', 'Travel']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
26.0,"I don't like to be given my ears; but I love to be made to laugh. |I'm not looking for sex so if that's all you aspire to, then go to the next one. |insta- nerea |I don't accept anyone I don't know but you can send me a message to talk there. :smiling_face:",['NotSpecified'],,Por Ti,3:00 AM,NotSpecified,|Libra|Smoker|All the pets|Never,|Dog lover|Cat lover|Instagram|Tattoos|Gamer,8,2,-3.684574,40.415211,5.6253794890392e+18,"['Libra', 'Smoker', 'All the pets', 'Never']","['Dog lover', 'Cat lover', 'Instagram', 'Tattoos', 'Gamer']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
24.0,||:Argentina::Ceuta_&_Melilla:,['NotSpecified'],,,,NotSpecified,,|Travel|Outdoors|Walking,11,2,-3.684574,40.415211,2.8738824196536545e+18,[],"['Travel', 'Outdoors', 'Walking']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
19.0,I love art :white_heart:|| in case you feel like gossiping and better to talk,['NotSpecified'],,Blinding Lhts,The Weeknd,NotSpecified,|Virgo|B time texter|Sober|Omnivore|Socially active|Occasionally|Non-smoker|All the pets,|Instagram|Travel|Photography|World Traveler|Fashion,7,2,-3.684574,40.415211,-4.3640637381677087e+18,"['Virgo', 'B time texter', 'Sober', 'Omnivore', 'Socially active', 'Occasionally', 'Non-smoker', 'All the pets']","['Instagram', 'Travel', 'Photography', 'World Traveler', 'Fashion']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
22.0,I have a dachshund||I posted a photo of my dog ​​because you only talk to me to see him happy??|,['NotSpecified'],,Llórame - Acústico,Zetazen; J Heras,NotSpecified,|B time texter|Sober|Omnivore|Socially active|Occasionally|Non-smoker|Dog,|Disney|Netflix|Dog lover|Picnicking|Outdoors,8,2,-3.684574,40.415211,9.047274392800797e+18,"['B time texter', 'Sober', 'Omnivore', 'Socially active', 'Occasionally', 'Non-smoker', 'Dog']","['Disney', 'Netflix', 'Dog lover', 'Picnicking', 'Outdoors']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
23.0,First: I love cooking (obviously eating too) || I play a lot on the PC. || I love the countryside; I grew up in a very small village <|| and I have never used these apps in my life; so good luck! || and yes; I am a trans girl :purple_heart:,['NotSpecified'],,,,NotSpecified,|Cancer|B time texter|Cat|Socially active|Gin|Smoker,|Grab a drink|Spirituality|Singer|Dog lover|Musician,8,2,-3.684574,40.415211,-5.601380212689606e+18,"['Cancer', 'B time texter', 'Cat', 'Socially active', 'Gin', 'Smoker']","['Grab a drink', 'Spirituality', 'Singer', 'Dog lover', 'Musician']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
18.0,|talk to me on instagram < I put a random age I'm a year younger I'm sorry I'm going to cry | if you like one piece talk to me on instagram please,['NotSpecified'],,Dark Red,Steve Lacy,Woman,|Scorpio|B time texter|Sober|Socially active|Occasionally|Non-smoker|Dog|Hh School,|Astrology|Language Exchange|Music|Singer|Gamer,5,2,-3.684574,40.415211,-5.901278632561015e+18,"['Scorpio', 'B time texter', 'Sober', 'Socially active', 'Occasionally', 'Non-smoker', 'Dog', 'Hh School']","['Astrology', 'Language Exchange', 'Music', 'Singer', 'Gamer']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
22.0,passing by the mockery. sneakers & hip hop!!,['NotSpecified'],,It Ain't Hard to Tell,Nas,NotSpecified,|Non-smoker|Sagittarius,|Travel|Tattoos|Photography|Reading|Music,11,2,-3.684574,40.415211,-6.388966172439284e+18,"['Non-smoker', 'Sagittarius']","['Travel', 'Tattoos', 'Photography', 'Reading', 'Music']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,I'm trying this recently; patience :raising_hands_light_skin_tone::slightly_smiling_face:,['NotSpecified'],,happier,Olivia Rodro,NotSpecified,|Sagittarius|B time texter|Socially active|Beer|Dog,|Movies|Grab a drink|Cooking,5,2,-3.684574,40.415211,6.149612911449386e+18,"['Sagittarius', 'B time texter', 'Socially active', 'Beer', 'Dog']","['Movies', 'Grab a drink', 'Cooking']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
22.0,"medical student. I like movies, going out to eat, and interesting people.",['NotSpecified'],Universidad de Alcalá,,,NotSpecified,|Omnivore|Socially active|Occasionally|Non-smoker|Beer|All the pets|In College,|Travel|Movies|Grab a drink|Dog lover|Party Animal,13,2,-3.684574,40.415211,2.243048787615792e+18,"['Omnivore', 'Socially active', 'Occasionally', 'Non-smoker', 'Beer', 'All the pets', 'In College']","['Travel', 'Movies', 'Grab a drink', 'Dog lover', 'Party Animal']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,We can recommend Mercadona products to each other. Then you come to the one I work with; I charge you and we pretend to meet by surprise to avoid Tinder being our only love story.||,['Cajera at Mercadona'],Universidad Carlos III de Madrid,Mazas y Catapultas,Kase.O,NotSpecified,|Leo|Better in person|Omnivore|Socially active|Non-smoker|Wine|Pet-free|Gym rat,|Fashion|DIY|Art|Working out|Grab a drink,15,2,-3.684574,40.415211,-5.450281856364136e+18,"['Leo', 'Better in person', 'Omnivore', 'Socially active', 'Non-smoker', 'Wine', 'Pet-free', 'Gym rat']","['Fashion', 'DIY', 'Art', 'Working out', 'Grab a drink']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0,german|,['NotSpecified'],,,,NotSpecified,|Sober|Socially active|Non-smoker|Capricorn|In College,,15,2,-3.684574,40.415211,2.1791863086722227e+18,"['Sober', 'Socially active', 'Non-smoker', 'Capricorn', 'In College']",[],500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
20.0,|scorpion:scorpion:|peruvian in :round_pushpin:madrid,['NotSpecified'],,,,Woman,|Omnivore|Socially active|Occasionally|Scorpio|Beer|Dog,|Travel|Dog lover|Outdoors|Instagram|Fashion,8,2,-3.684574,40.415211,1.5521445029815084e+18,"['Omnivore', 'Socially active', 'Occasionally', 'Scorpio', 'Beer', 'Dog']","['Travel', 'Dog lover', 'Outdoors', 'Instagram', 'Fashion']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0,I like to eat.,['NotSpecified'],,Piel de Cordero,Quevedo; La Pantera,NotSpecified,,,8,2,-3.684574,40.415211,7.941385836544666e+18,[],[],500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
22.0,i love to have fun and joke around; always down for a good road trip and some fun :mushroom::leaf_fluttering_in_wind: unfortunately; i dont speak spanish :(,['NotSpecified'],Saint Louis University,,,Woman,,|Movies|Road Trips|Dog lover|Foodie|Escape Cafe,12,2,-3.684574,40.415211,-7.420044125601376e+18,[],"['Movies', 'Road Trips', 'Dog lover', 'Foodie', 'Escape Cafe']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
19.0,Fool whoever reads this (sorry I'm not old I swear),['NotSpecified'],Universidad Autónoma de Barcelona,Hey There Delilah,Plain White T's,Woman,|Occasionally|All the drinks|In College|Pet-free,|Nature|Grab a drink|Foodie|Travel|Art,14,2,-3.684574,40.415211,-6.210713000731248e+18,"['Occasionally', 'All the drinks', 'In College', 'Pet-free']","['Nature', 'Grab a drink', 'Foodie', 'Travel', 'Art']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
19.0,live music and beers; the best plan|here we work on twitter humor | :Scorpio: :red_heart::yellow_heart::purple_heart:,['Animación Sociocultural y Turística'],IES Barrio de Bilbao,Nebulosa Jade,Rufus T. Firefly,Woman,|Scorpio|Beer|Dog,|Camping|Travel|Dog lover|Photography|Music,12,2,-3.684574,40.415211,6.094576471043213e+17,"['Scorpio', 'Beer', 'Dog']","['Camping', 'Travel', 'Dog lover', 'Photography', 'Music']",23a4210d85de9994cd8e0034f2f358935e577cfd4c80c40a5f74520c288a1e0f
22.0,quiet; homely and familiar,['Dependienta'],Ies Yaiza,Nadie La Controla,Piso 21,NotSpecified,|Sagittarius|Phone caller|Socially active|Occasionally|Non-smoker|Wine|Carnivore|Dog|Hh School,|Surfing|Reading|Wine|Movies|Introvert,2,2,-3.684574,40.415211,-3.544601405248148e+17,"['Sagittarius', 'Phone caller', 'Socially active', 'Occasionally', 'Non-smoker', 'Wine', 'Carnivore', 'Dog', 'Hh School']","['Surfing', 'Reading', 'Wine', 'Movies', 'Introvert']",b9bc965a1d0c2d41ec98e77b0ce8a8ee330eb11e57440da95642cea130dce21f
22.0,I'm looking to meet people with whom I can connect; if you just want to have sex… next,['NotSpecified'],,,,Woman,|Capricorn|Better in person|Non-smoker|All the drinks|Carnivore|Dog|Never,|Movies|Grab a drink|Shopping|Dog lover|Netflix,5,2,-3.684574,40.415211,1.275060629595566e+18,"['Capricorn', 'Better in person', 'Non-smoker', 'All the drinks', 'Carnivore', 'Dog', 'Never']","['Movies', 'Grab a drink', 'Shopping', 'Dog lover', 'Netflix']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
23.0,"I am friendly, funny and cheerful. I want to meet new people :)",['NotSpecified'],,,,Woman,,|Grab a drink|Instagram|Reading|Tattoos|Shopping,13,2,-3.684574,40.415211,-2.1603202756398405e+18,[],"['Grab a drink', 'Instagram', 'Reading', 'Tattoos', 'Shopping']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0,"I don't really know what I'm doing here, but I want to meet people. PS: I'm shy :)",['NotSpecified'],,Fine Line,Harry Styles,NotSpecified,|Capricorn|B time texter|Sober|Omnivore|Socially active|Occasionally|Non-smoker|Dog,|Nature|Writer|Art|Reading|Dog lover,5,2,-3.684574,40.415211,-6.732735657685084e+17,"['Capricorn', 'B time texter', 'Sober', 'Omnivore', 'Socially active', 'Occasionally', 'Non-smoker', 'Dog']","['Nature', 'Writer', 'Art', 'Reading', 'Dog lover']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
19.0,love all types of art :clapper_board::artist_palette::musical_notes:||,['Actress'],School of the Arts TAI,She,Harry Styles,NotSpecified,|Non-smoker|Aries|Better in person|Sober|In College,|Movies|Baking|Netflix|Dog lover|Cat lover,15,2,-3.684574,40.415211,2.8241070890849603e+18,"['Non-smoker', 'Aries', 'Better in person', 'Sober', 'In College']","['Movies', 'Baking', 'Netflix', 'Dog lover', 'Cat lover']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
29.0,,['NotSpecified'],,Hallelujah,Pentatonix,Woman,|Sober|Occasionally|Non-smoker|Taurus|Bachelors|Carnivore,|Escape Cafe|Reading|Hiking|Road Trips|Board Games,1,2,-3.684574,40.415211,-1.9906526953284892e+18,"['Sober', 'Occasionally', 'Non-smoker', 'Taurus', 'Bachelors', 'Carnivore']","['Escape Cafe', 'Reading', 'Hiking', 'Road Trips', 'Board Games']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
